name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
SPEED 250ml,speed-250ml,Speed 250Ml,2000,1300,100,5,kiosco,MICRO,250,12,5,5,1,BIKE|MOTO
SPEED 473ml,speed-473ml,Speed 473Ml,3000,1950,100,5,kiosco,MICRO,400,13,7,7,1,BIKE|MOTO
SPEED 269ml,speed-269ml,Speed 269Ml,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CELULOSA CON IMAN LION ROLLING CIRCUS,celulosa-con-iman-lion-rolling-circus,Celulosa Con Iman Lion Rolling Circus,2800,1820,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
LION ROLLING CIRCUS HEMP WRAPS NATURAL,lion-rolling-circus-hemp-wraps-natural,Lion Rolling Circus Hemp Wraps Natural,2400,1560,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
PAPELILLOS ORGANIC LION ROLLING CIRCUS,papelillos-organic-lion-rolling-circus,Papelillos Organic Lion Rolling Circus,1200,780,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
PAPELILLO MAMA CULTIVA,papelillo-mama-cultiva,Papelillo Mama Cultiva,1200,780,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
PAPELILLOS ROLLING STONE 11/4,papelillos-rolling-stone-114,Papelillos Rolling Stone 11/4,4800,3120,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
LION ROLLING CIRCUS GELATO,lion-rolling-circus-gelato,Lion Rolling Circus Gelato,4600,2990,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
LION ROLLING CIRCUS GELATO 33,lion-rolling-circus-gelato-33,Lion Rolling Circus Gelato 33,4600,2990,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
AURICULAR SOUL S389,auricular-soul-s389,Auricular Soul S389,7700,5005,100,5,kiosco,SMALL,800,22,12,8,3,BIKE|MOTO|CAR
SALONERA X 1125 CC,salonera-x-1125-cc,Salonera X 1125 Cc,3500,2275,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CINTITAS TOSTEX QUESO 125gr,cintitas-tostex-queso-125gr,Cintitas Tostex Queso 125Gr,2000,1300,100,5,supermercado,MICRO,200,15,8,5,1,BIKE|MOTO
CINTITAS TOSTEX CEBOLLA 125gr,cintitas-tostex-cebolla-125gr,Cintitas Tostex Cebolla 125Gr,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CINTITAS TOSTEX PIZZA 125gr,cintitas-tostex-pizza-125gr,Cintitas Tostex Pizza 125Gr,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
CINTITAS TOSTEX BARBACOA 125gr,cintitas-tostex-barbacoa-125gr,Cintitas Tostex Barbacoa 125Gr,2000,1300,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
